Timestamp,yaw,pitch,roll
0:00:00,0,0,0
0:00:00.500000,0,0,0
0:00:01,0,0,0
0:00:01.500000,0,0,0
0:00:02,0,0,0
0:00:02.500000,0,0,0
0:00:03,0,0,0
0:00:03.500000,0,0,0
0:00:04,0,0,0
0:00:04.500000,0,0,0
0:00:05,0,0,0
0:00:05.500000,0,0,0
0:00:06,0,0,0
0:00:06.500000,0,0,0
0:00:07,0,0,0
0:00:07.500000,0,0,0
0:00:08,0,0,0
0:00:08.500000,0,0,0
0:00:09,0,0,0
0:00:09.500000,0,0,0
0:00:10,0,0,0
0:00:10.500000,0,0,0
0:00:11,0,0,0
0:00:11.500000,0,0,0
0:00:12,0,0,0
0:00:12.500000,0,0,0
0:00:13,0,0,0
0:00:13.500000,0,0,0
0:00:14,0,0,0
0:00:14.500000,0,0,0
0:00:15,0,0,0
0:00:15.500000,0,0,0
0:00:16,0,0,0
0:00:16.500000,0,0,0
0:00:17,0,0,0
0:00:17.500000,0,0,0
0:00:18,0,0,0
0:00:18.500000,0,0,0
0:00:19,0,0,0
0:00:19.500000,0,0,0
0:00:20,-75,0,0
0:00:20.500000,-75,0,0
0:00:21,0,0,0
0:00:21.500000,0,0,0
0:00:22,0,0,0
0:00:22.500000,0,0,0
0:00:23,0,0,0
0:00:23.500000,0,0,0
0:00:24,0,0,0
0:00:24.500000,0,0,0
0:00:25,0,0,0
0:00:25.500000,0,0,0
0:00:26,0,0,0
0:00:26.500000,0,0,0
0:00:27,0,0,0
0:00:27.500000,0,0,0
0:00:28,0,0,0
0:00:28.500000,0,0,0
0:00:29,0,0,0
0:00:29.500000,0,0,0
0:00:30,0,0,0
0:00:30.500000,0,0,0
0:00:31,0,0,0
0:00:31.500000,0,0,0
0:00:32,0,0,0
0:00:32.500000,0,0,0
0:00:33,0,0,0
0:00:33.500000,0,0,0
0:00:34,0,0,0
0:00:34.500000,0,0,0
0:00:35,0,0,0
0:00:35.500000,0,0,0
0:00:36,0,0,0
0:00:36.500000,0,0,0
0:00:37,0,0,0
0:00:37.500000,0,0,0
0:00:38,0,0,0
0:00:38.500000,0,0,0
0:00:39,0,0,0
0:00:39.500000,0,0,0
0:00:40,0,0,0
0:00:40.500000,0,0,0
0:00:41,0,0,0
0:00:41.500000,0,0,0
0:00:42,-75,0,0
0:00:42.500000,-75,0,0
0:00:43,-75,0,0
0:00:43.500000,-75,0,0
0:00:44,-75,0,0
0:00:44.500000,-75,0,0
0:00:45,-75,0,0
0:00:45.500000,-75,0,0
0:00:46,-75,0,0
0:00:46.500000,-75,0,0
0:00:47,-75,0,0
0:00:47.500000,-75,0,0
0:00:48,0,0,0
0:00:48.500000,0,0,0
0:00:49,0,0,0
0:00:49.500000,-75,0,0
0:00:50,-75,0,0
0:00:50.500000,-75,0,0
0:00:51,-75,0,0
0:00:51.500000,-75,0,0
0:00:52,-75,0,0
0:00:52.500000,-75,0,0
0:00:53,-75,0,0
0:00:53.500000,-75,0,0
0:00:54,-75,0,0
0:00:54.500000,-75,0,0
0:00:55,-75,0,0
0:00:55.500000,-75,0,0
0:00:56,-75,0,0
0:00:56.500000,-75,0,0
0:00:57,-75,0,0
0:00:57.500000,-75,0,0
0:00:58,0,0,0
0:00:58.500000,0,0,0
0:00:59,-75,0,0
0:00:59.500000,-75,0,0
0:01:00,-75,0,0
0:01:00.500000,0,0,0
0:01:01,0,0,0
0:01:01.500000,0,0,0
0:01:02,0,0,0
0:01:02.500000,0,0,0
0:01:03,0,0,0
0:01:03.500000,0,0,0
0:01:04,0,0,0
0:01:04.500000,0,0,0
0:01:05,0,0,0
0:01:05.500000,0,0,0
0:01:06,0,0,0
0:01:06.500000,0,0,0
0:01:07,0,0,0
0:01:07.500000,0,0,0
0:01:08,0,0,0
0:01:08.500000,0,0,0
0:01:09,0,0,0
0:01:09.500000,0,0,0
0:01:10,0,0,0
0:01:10.500000,0,0,0
0:01:11,0,0,0
0:01:11.500000,0,0,0
0:01:12,0,0,0
0:01:12.500000,0,0,0
0:01:13,0,0,0
0:01:13.500000,0,0,0
0:01:14,0,0,0
0:01:14.500000,0,0,0
0:01:15,0,0,0
0:01:15.500000,0,0,0
0:01:16,0,0,0
0:01:16.500000,0,0,0
0:01:17,0,0,0
0:01:17.500000,0,0,0
0:01:18,0,0,0
0:01:18.500000,0,0,0
0:01:19,0,0,0
0:01:19.500000,0,0,0
0:01:20,0,0,0
0:01:20.500000,0,0,0
0:01:21,0,0,0
0:01:21.500000,0,0,0
0:01:22,0,0,0
0:01:22.500000,0,0,0
0:01:23,0,0,0
0:01:23.500000,0,0,0
